Z,El,role,period,chi_spec,E_port,D_index,A_index,N_min,N_max,N_best,A_best,N_over_Z,F_min,band_width,allowed_N,living_hub
1,H,terminator,1,2.26371,1.83,0.0,1.237,1,2,2,3,2.0,-6.1537242186181,1,2,False
2,He,inert,1,0.0,0.0,-0.0,0.0,2,3,2,4,1.0,-27.575605980910233,2,2;3,False
3,Li,terminator,2,-0.26579811495001215,1.3751883069361985,0.19328125000000002,0.0,3,5,4,7,1.3333333333333333,-39.14753109638725,1,4,False
4,Be,bridge,2,-0.36017032066387267,1.1522420151191672,0.3125821797312461,0.0,4,7,7,11,1.75,-64.69050604489775,2,6;7,False
5,B,hub,2,1.4116037852188463,1.141150998560102,0.0,1.237,5,9,8,13,1.6,-77.48111734968559,2,8;9,True
6,C,hub,2,1.7055745257082264,1.3787991315345403,0.0,1.237,6,10,10,16,1.6666666666666667,-111.54894673984326,1,10,True
7,N,hub,2,1.9341880755536673,1.5636120255082193,0.0,1.237,7,12,10,17,1.4285714285714286,-128.65183786173776,3,10;11;12,True
8,O,bridge,2,2.397941581152393,1.938513808530633,0.0,1.237,8,14,12,20,1.5,-148.72045601585643,3,10;11;12,False
9,F,terminator,2,5.523390257293875,4.465149763374192,0.0,1.237,9,16,16,25,1.7777777777777777,-179.7653748778096,1,16,False
10,Ne,inert,2,0.0,0.0,-0.0,0.0,10,18,18,28,1.8,-214.11464928158725,1,18,False
11,Na,terminator,3,-0.20011885771267016,1.0353764667429983,0.19328125000000002,0.0,11,19,19,30,1.7272727272727273,-224.30698239825995,1,19,False
12,Mg,bridge,3,-0.2711714985895051,0.8675206591196423,0.31258217973124613,0.0,12,21,21,33,1.75,-240.45737047118595,2,20;21,False
13,Al,hub,3,1.0627936059441343,0.8591702554115879,0.0,1.237,13,23,22,35,1.6923076923076923,-242.72973475135524,2,22;23,True
14,Si,hub,3,1.2841235758679101,1.0380950492060712,0.0,1.237,14,25,25,39,1.7857142857142858,-249.5144805583622,1,25,True
15,P,hub,3,1.4562462504824847,1.177240299500796,0.0,1.237,15,27,27,42,1.8,-300.6779507659271,1,27,True
16,S,bridge,3,1.8054053173860145,1.4595030860032452,0.0,1.237,16,28,28,44,1.75,-343.264290193764,1,28,False
17,Cl,terminator,3,4.158549240271395,3.3618021344150315,0.0,1.237,17,30,30,47,1.7647058823529411,-376.1756569822838,2,29;30,False
18,Ar,inert,3,0.0,0.0,-0.0,0.0,18,32,30,48,1.6666666666666667,-402.35252417323323,3,30;31;32,False
19,K,terminator,4,-0.16361793214915865,0.8465277006908775,0.19328125,0.0,19,34,32,51,1.6842105263157894,-420.7286043580677,4,30;31;32;33,False
20,Ca,bridge,4,-0.221710839068987,0.7092881598676257,0.3125821797312461,0.0,20,36,32,52,1.6,-438.3424885763636,4,30;31;32;33,False
21,Sc,inert,4,0.0,1.0859000695890009,-0.0,0.0,21,37,32,53,1.5238095238095237,-447.26880882430584,4,30;31;32;33,False
22,Ti,inert,4,0.0,1.0859000695890009,-0.0,0.0,22,39,32,54,1.4545454545454546,-455.29177507678213,5,30;31;32;33;34,False
23,V,hub,4,-0.49759314783809855,1.0859000695890009,0.45823106727162394,0.0,23,41,32,55,1.391304347826087,-454.8052921848933,5,31;32;33;34;41,False
24,Cr,hub,4,-0.48466637208665214,1.0859000695890009,0.4463268634563143,0.0,24,43,43,67,1.7916666666666667,-497.7025519661135,1,43,False
25,Mn,inert,4,0.0,1.0859000695890009,-0.0,0.0,25,45,45,70,1.8,-556.1434859166353,1,45,False
26,Fe,hub,4,-0.42247320666974564,1.0859000695890009,0.38905348521586,0.0,26,46,46,72,1.7692307692307692,-596.6200832744013,1,46,False
27,Co,hub,4,-0.40710826976943854,1.0859000695890009,0.3749039908649456,0.0,27,48,48,75,1.7777777777777777,-636.6708771088829,1,48,False
28,Ni,hub,4,-0.3984143068089642,1.0859000695890009,0.3668977634007878,0.0,28,50,50,78,1.7857142857142858,-668.9083934784146,1,50,False
29,Cu,hub,4,-0.4012707401883,1.0859000695890009,0.36952823876342117,0.0,29,52,52,81,1.793103448275862,-686.9256734863483,2,51;52,False
30,Zn,hub,4,-0.4889000188831961,1.0859000695890009,0.4502256078390698,0.0,30,54,54,84,1.8,-697.0044745281518,3,52;53;54,False
31,Ga,hub,4,0.86894405701436,0.7024608383301212,0.0,1.237,31,55,54,85,1.7419354838709677,-699.7772051736655,4,52;53;54;55,True
32,Ge,hub,4,1.0499042744345441,0.8487504239567859,0.0,1.2369999999999999,32,57,54,86,1.6875,-701.1366142769446,4,52;53;54;55,True
33,As,hub,4,1.1906324217881263,0.9625161049216866,0.0,1.237,33,59,54,87,1.6363636363636365,-695.0489296175778,4,52;53;54;55,True
34,Se,bridge,4,1.4761061905816222,1.1932952227822329,0.0,1.237,34,61,54,88,1.588235294117647,-687.5572677015234,5,52;53;54;55;56,False
35,Br,terminator,4,3.400045528995548,2.748622092963256,0.0,1.237,35,63,54,89,1.542857142857143,-672.6955502337318,5,52;53;54;55;56,False
36,Kr,inert,4,0.0,0.0,-0.0,0.0,36,64,54,90,1.5,-656.4366293491211,4,53;54;55;56,False
37,Rb,terminator,5,-0.1399567633863128,0.7241093659437363,0.19328125000000002,0.0,37,66,54,91,1.4594594594594594,-632.8799787965013,4,53;54;55;56,False
38,Sr,bridge,5,-0.18964872026051116,0.6067163535156372,0.3125821797312461,0.0,38,68,54,92,1.4210526315789473,-607.9306605788112,4,53;54;55;56,False
