Z,El,role,period,chi_spec,E_port,D_index,A_index,geom_class
1,H,terminator,1,2.26371,1.83,0.0,1.237,p_acceptor
2,He,inert,1,0.0,0.0,-0.0,0.0,inert
3,Li,terminator,2,-0.2657981149500121,1.3751883069361983,0.19328125,0.0,s_donor
4,Be,bridge,2,-0.3601703206638726,1.1522420151191672,0.3125821797312461,0.0,s_bridge
5,B,hub,2,0.1411603785218846,1.141150998560102,0.0,0.1237,p_semihub
6,C,hub,2,1.7055745257082264,1.3787991315345405,0.0,1.237,p_acceptor
7,N,hub,2,1.934188075553668,1.563612025508219,0.0,1.237,p_acceptor
8,O,bridge,2,2.397941581152393,1.938513808530633,0.0,1.237,p_acceptor
9,F,terminator,2,5.523390257293875,4.465149763374192,0.0,1.237,p_acceptor
10,Ne,inert,2,0.0,0.0,-0.0,0.0,inert
11,Na,terminator,3,-0.2001188577126701,1.0353764667429983,0.19328125,0.0,s_donor
12,Mg,bridge,3,-0.2711714985895051,0.8675206591196423,0.3125821797312461,0.0,s_bridge
13,Al,hub,3,0.1062793605944134,0.8591702554115879,0.0,0.1237,p_semihub
14,Si,hub,3,1.28412357586791,1.0380950492060712,0.0,1.237,p_acceptor
15,P,hub,3,1.456246250482485,1.177240299500796,0.0,1.237,p_acceptor
16,S,bridge,3,1.8054053173860145,1.4595030860032452,0.0,1.237,p_acceptor
17,Cl,terminator,3,4.158549240271395,3.3618021344150315,0.0,1.237,p_acceptor
18,Ar,inert,3,0.0,0.0,-0.0,0.0,inert
19,K,terminator,4,-0.1636179321491586,0.8465277006908775,0.19328125,0.0,s_donor
20,Ca,bridge,4,-0.221710839068987,0.7092881598676257,0.3125821797312461,0.0,s_bridge
21,Sc,inert,4,-0.0999999999999996,6.0,0.0166666666666666,0.0,d_octa
22,Ti,inert,4,0.2600000000000002,6.0,0.0,0.0433333333333333,d_octa
23,V,hub,4,0.4399999999999999,6.0,0.0,0.0733333333333333,d_octa
24,Cr,hub,4,0.5,6.0,0.0,0.0833333333333333,d_octa
25,Mn,inert,4,0.2800000000000002,6.0,0.0,0.0466666666666667,d_octa
26,Fe,hub,4,0.8400000000000003,6.0,0.0,0.14,p_semihub
27,Co,hub,4,0.94,6.0,0.0,0.1566666666666666,p_semihub
28,Ni,hub,4,1.0,6.0,0.0,0.1666666666666666,d_octa
29,Cu,hub,4,0.98,6.0,0.0,0.1633333333333333,d_octa
30,Zn,hub,4,0.48,6.0,0.0,0.08,d_octa
31,Ga,hub,4,0.086894405701436,0.7024608383301212,0.0,0.1237,p_semihub
32,Ge,hub,4,1.049904274434544,0.8487504239567859,0.0,1.237,p_acceptor
33,As,hub,4,1.1906324217881263,0.9625161049216866,0.0,1.237,p_acceptor
34,Se,bridge,4,1.4761061905816222,1.1932952227822329,0.0,1.237,p_acceptor
35,Br,terminator,4,3.400045528995548,2.748622092963256,0.0,1.237,p_acceptor
36,Kr,inert,4,0.0,0.0,-0.0,0.0,inert
37,Rb,terminator,5,-0.1399567633863128,0.7241093659437363,0.19328125,0.0,s_donor
38,Sr,bridge,5,-0.1896487202605111,0.6067163535156372,0.3125821797312461,0.0,s_bridge
49,In,hub,5,0.0743284040973175,0.6008763467851054,0.0,0.1237,p_semihub
50,Sn,hub,5,0.8980751815232466,0.7260106560414281,0.0,1.237,p_acceptor
51,Sb,hub,5,1.0184523049977334,0.8233244179448127,0.0,1.237,p_acceptor
52,Te,bridge,5,1.2626430497848455,1.020730032162365,0.0,1.237,p_acceptor
53,I,terminator,5,2.908357056917905,2.351137475277207,0.0,1.237,p_acceptor
54,Xe,inert,5,0.0,0.0,-0.0,0.0,inert
