T,seed,n_mean,n_std,frac_cycles,cycle_load_mean,C_norm_fdm_mean,num_runs
0.5,C,12.58,6.501815131176831,0.965,0.2536358876421435,0.15576154457585523,200
0.5,O,2.87,4.171702290432528,0.2,0.062188448590378524,0.17005496698624575,200
0.5,Si,3.8,2.3832750575625967,0.625,0.27921915584415585,0.32871962319391024,200
0.5,S,2.605,3.0197640636314618,0.25,0.08901033606915959,0.14606906502445222,200
1.0,C,16.15,7.044678842928185,0.995,0.21324478238255665,0.11628809087313093,200
1.0,O,4.75,4.9180788932265,0.465,0.1575017581317891,0.25821385682905384,200
1.0,Si,8.415,4.527999006183636,0.945,0.34536833739445966,0.21583851101105314,200
1.0,S,5.705,5.430283141789202,0.535,0.17360980593530395,0.28147823066683764,200
2.0,C,18.22,6.7993823248880485,0.975,0.18182592108595103,0.09970430639765315,200
2.0,O,9.61,7.30464920444507,0.77,0.21720984873623855,0.22858050109772712,200
2.0,Si,13.625,6.862534152920479,0.955,0.23734999786150343,0.14713142561936912,200
2.0,S,8.8,7.066823897621901,0.725,0.2101224313570996,0.2241336334037465,200
3.0,C,20.215,6.593843719713108,0.98,0.16001710162958144,0.08748086596971158,200
3.0,O,9.0,6.734240862933253,0.82,0.2526798239861573,0.2385284181533627,200
3.0,Si,16.11,6.9898426305604335,0.98,0.20680632502135396,0.11754768051523158,200
3.0,S,10.1,7.14912582068605,0.85,0.2444433769719609,0.23162317779937322,200
